epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.799,1.6225,1.31766,1.26158,0.61488,0.38899,0.39472,0.18716,1.53199,1.05248,1.22643,0.000221539,0.000221539,0.000221539
2,376.225,1.56428,0.99877,1.25278,0.68918,0.37364,0.45022,0.21794,1.55321,1.0045,1.25408,0.000399929,0.000399929,0.000399929
3,559.565,1.53081,0.94859,1.23887,0.67957,0.43595,0.49533,0.24059,1.51837,0.90876,1.22693,0.000534297,0.000534297,0.000534297
4,747.05,1.50814,0.89265,1.22786,0.71459,0.51192,0.55244,0.26908,1.4718,0.85376,1.2096,0.000468901,0.000468901,0.000468901
5,931.886,1.45918,0.83502,1.21436,0.64266,0.54809,0.58688,0.29484,1.45718,0.80484,1.20651,0.000402868,0.000402868,0.000402868
6,1117.6,1.41173,0.78026,1.19028,0.73139,0.52765,0.60596,0.3094,1.40208,0.75487,1.19181,0.000336835,0.000336835,0.000336835
7,1301.12,1.37398,0.73415,1.17112,0.70894,0.61398,0.6564,0.34183,1.38197,0.73274,1.16404,0.000270802,0.000270802,0.000270802
8,1486.43,1.33163,0.69606,1.14775,0.76302,0.63566,0.7128,0.37486,1.32812,0.67867,1.15067,0.000204769,0.000204769,0.000204769
9,1673.45,1.28606,0.65469,1.12466,0.85505,0.62916,0.733,0.40322,1.29239,0.6397,1.13224,0.000138736,0.000138736,0.000138736
10,1856.98,1.24301,0.62195,1.10309,0.80054,0.63679,0.74077,0.41671,1.26339,0.61767,1.11458,7.2703e-05,7.2703e-05,7.2703e-05
